product page URL,product name,product code,ingredient,function,CAS#
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Aqua,"Water is a solvent. Water is used in a many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Isopropylideneglycerol,Isopropylideneglycerol is a solvent.,100-79-8
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Caprylyl/Capryl Glucoside,Caprylyl/Capryl Glucoside is a surfactant.,68515-73-1
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Sodium Declyglucoside Hydroxypropylsulfonate,Sodium Declyglucoside Hydroxypropylsulfonate is a surfactant.,742087-48-5
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Polymeric Green Colorant,Polymeric Green Colorant is a colorant.,Proprietary
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Polymeric Yellow Colorant,Polymeric Yellow Colorant is a colorant.,Proprietary
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Methylisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Benzisothiazolinone,Benziothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2634-33-5
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Methylchloroisothiazolinone,Methylchloroisothiazolinone is a preservative.,26172-55-4
https://us.bona.com/products/stl-cleaner-160oz.html,Bona® Hard-Surface Floor Cleaner Refill,,Citric Acid,Citric Acid is apH regulating agent.,77-92-9
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Aqua,"Water is a solvent. Water is used in many different manufactured prodcuts and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a away to dissolve other chemicals into a safe cleaning solution. The term ""aqua"" refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Caprylyl/Capryl Glucoside,Caprylyl/Capryl Glucoside is a surfactant.,68515-73-1
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,PPG-2 Methyl Ether,"PPG-2 methyl ether is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",34590-94-8
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Butoxypropanol,"Butoxypropanol is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",5131-66-8
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Polymeric Blue Colorant,Polymeric Blue Colorant is a colorant.,Proprietary
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Polymeric Red Colorant,Polymeric Red Colorant is a colorant.,Proprietary
